version,2.3.0
info,balls_per_over,6
info,team,Central Districts
info,team,Otago
info,team_type,club
info,gender,female
info,season,2025/26
info,date,2026/01/24
info,event,Women's Super Smash
info,match_id,1499687
info,match_type,T20
info,overs,20
info,match_number,28
info,venue,"McLean Park, Napier"
info,city,Napier
info,toss_winner,Central Districts
info,toss_decision,bat
info,umpire,GG Pennell
info,umpire,SR Oliver
info,reserve_umpire,Glen Walklin
info,tv_umpire,V Mahna
info,match_referee,K Pulley
info,target_overs,2,20
info,target_runs,2,124
info,winner,Otago
info,winner_wickets,2
info,player,Central Districts,BF Smith
info,player,Central Districts,G Scrivens
info,player,Central Districts,FDM Devonshire
info,player,Central Districts,EMA McLeod
info,player,Central Districts,HM Rowe
info,player,Central Districts,KA Tomlinson
info,player,Central Districts,RA Mair
info,player,Central Districts,CS Pedersen
info,player,Central Districts,KJ Gaging
info,player,Central Districts,Ashtuti Kumar
info,player,Central Districts,JB Ogden
info,player,Otago,IR James
info,player,Otago,PJ Watkins
info,player,Otago,CG Blakely
info,player,Otago,L Harris
info,player,Otago,PM Inglis
info,player,Otago,ON Gain
info,player,Otago,AS Browning
info,player,Otago,E Gray
info,player,Otago,EJ Black
info,player,Otago,ATP Todd
info,player,Otago,CM Deerness
info,registry,people,AS Browning,c4c97b51
info,registry,people,ATP Todd,144a0692
info,registry,people,Ashtuti Kumar,8aa62462
info,registry,people,BF Smith,c64b7c5b
info,registry,people,CG Blakely,8f999ed5
info,registry,people,CM Deerness,bb1343ed
info,registry,people,CS Pedersen,553eff23
info,registry,people,E Gray,58717de2
info,registry,people,EJ Black,2817e17a
info,registry,people,EMA McLeod,1f1ee021
info,registry,people,FDM Devonshire,c8b0b64c
info,registry,people,G Scrivens,7306c48d
info,registry,people,GG Pennell,d9376677
info,registry,people,Glen Walklin,0070ed27
info,registry,people,HM Rowe,8ca1f93a
info,registry,people,IR James,57bdbc16
info,registry,people,JB Ogden,a7593393
info,registry,people,K Pulley,644bf4ad
info,registry,people,KA Tomlinson,83d6e306
info,registry,people,KJ Gaging,7a759a8a
info,registry,people,L Harris,36e2dc83
info,registry,people,ON Gain,67913804
info,registry,people,PJ Watkins,a2d53c59
info,registry,people,PM Inglis,e4a71d18
info,registry,people,RA Mair,d5eb8b84
info,registry,people,SR Oliver,d3713ba5
info,registry,people,V Mahna,5dcdc811
