version,2.3.0
info,balls_per_over,6
info,team,MI Emirates
info,team,Abu Dhabi Knight Riders
info,team_type,club
info,gender,male
info,season,2025/26
info,date,2025/12/20
info,event,International League T20
info,match_id,1501338
info,match_type,T20
info,overs,20
info,match_number,21
info,venue,"Zayed Cricket Stadium, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,Abu Dhabi Knight Riders
info,toss_decision,field
info,player_of_match,Zahoor Khan
info,umpire,Akbar Ali
info,umpire,MJ Saggers
info,reserve_umpire,Aasif Iqbal
info,tv_umpire,LS Reifer
info,match_referee,RS Mahanama
info,target_overs,2,20
info,target_runs,2,188
info,winner,MI Emirates
info,winner_runs,35
info,player,MI Emirates,Arab Gul
info,player,MI Emirates,Waseem Muhammad
info,player,MI Emirates,JM Bairstow
info,player,MI Emirates,T Banton
info,player,MI Emirates,N Pooran
info,player,MI Emirates,KA Pollard
info,player,MI Emirates,R Shepherd
info,player,MI Emirates,Shakib Al Hasan
info,player,MI Emirates,SP Krishnamurthi
info,player,MI Emirates,AM Ghazanfar
info,player,MI Emirates,Zahoor Khan
info,player,MI Emirates,Fazalhaq Farooqi
info,player,Abu Dhabi Knight Riders,PP Chawla
info,player,Abu Dhabi Knight Riders,PD Salt
info,player,Abu Dhabi Knight Riders,AD Hales
info,player,Abu Dhabi Knight Riders,BJ McMullen
info,player,Abu Dhabi Knight Riders,SE Rutherford
info,player,Abu Dhabi Knight Riders,LS Livingstone
info,player,Abu Dhabi Knight Riders,AD Russell
info,player,Abu Dhabi Knight Riders,SP Narine
info,player,Abu Dhabi Knight Riders,JO Holder
info,player,Abu Dhabi Knight Riders,A Sharafu
info,player,Abu Dhabi Knight Riders,Ajay Kumar
info,player,Abu Dhabi Knight Riders,OP Stone
info,registry,people,A Sharafu,06cad4f0
info,registry,people,AD Hales,92aeac25
info,registry,people,AD Russell,bbd41817
info,registry,people,AM Ghazanfar,9ca68676
info,registry,people,Aasif Iqbal,42c41e1a
info,registry,people,Ajay Kumar,c80b4969
info,registry,people,Akbar Ali,e753931d
info,registry,people,Arab Gul,aed2b202
info,registry,people,BJ McMullen,436c763a
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JO Holder,0f721006
info,registry,people,KA Pollard,a757b0d8
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,LS Reifer,5dee559a
info,registry,people,MJ Saggers,402d5937
info,registry,people,N Pooran,3241e3fd
info,registry,people,OP Stone,3f659464
info,registry,people,PD Salt,3d284ca3
info,registry,people,PP Chawla,98ae73b1
info,registry,people,R Shepherd,c5aef772
info,registry,people,RS Mahanama,57910393
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,SP Krishnamurthi,3b8e7647
info,registry,people,SP Narine,9d430b40
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,T Banton,25f7b7d6
info,registry,people,Waseem Muhammad,6f02fe2a
info,registry,people,Zahoor Khan,f0e293b0
