version,2.3.0
info,balls_per_over,6
info,team,Moors Sports Club
info,team,Burgher Recreation Club
info,team_type,club
info,gender,male
info,season,2025/26
info,date,2025/12/06
info,date,2025/12/07
info,date,2025/12/08
info,event,Major League Tournament
info,match_id,1511636
info,match_type,MDM
info,venue,"Colts Cricket Club Ground, Colombo"
info,city,Colombo
info,toss_winner,Burgher Recreation Club
info,toss_decision,field
info,umpire,RSA Palliyaguruge
info,umpire,V Prasad
info,reserve_umpire,RD Kottahachchi
info,match_referee,PS Jayaprakashdaran
info,declared,1
info,outcome,draw
info,player,Moors Sports Club,S Samarawickrama
info,player,Moors Sports Club,J Perera
info,player,Moors Sports Club,S de Livera
info,player,Moors Sports Club,DPS Sooriyabandara
info,player,Moors Sports Club,S Gimhan
info,player,Moors Sports Club,RTM Mendis
info,player,Moors Sports Club,S Fernando
info,player,Moors Sports Club,RMMP Rathnayake
info,player,Moors Sports Club,S Gunathilaka
info,player,Moors Sports Club,SA Fernando
info,player,Moors Sports Club,P Jayawickrama
info,player,Burgher Recreation Club,H Dhanushka
info,player,Burgher Recreation Club,GSM Fernando
info,player,Burgher Recreation Club,Hashan Dumindu
info,player,Burgher Recreation Club,ARS Silva
info,player,Burgher Recreation Club,P Maduwantha
info,player,Burgher Recreation Club,M Abinash
info,player,Burgher Recreation Club,R Wijesooriya
info,player,Burgher Recreation Club,M Shiraz
info,player,Burgher Recreation Club,PWS Dulshan
info,player,Burgher Recreation Club,CMKK Wijerathne
info,player,Burgher Recreation Club,S Ramanayake
info,registry,people,ARS Silva,198798b2
info,registry,people,CMKK Wijerathne,12fb67f5
info,registry,people,DPS Sooriyabandara,cc17536f
info,registry,people,GSM Fernando,bbeb5b15
info,registry,people,H Dhanushka,9fd08e6d
info,registry,people,Hashan Dumindu,6e2f7f3d
info,registry,people,J Perera,0e0d4577
info,registry,people,M Abinash,077f83bf
info,registry,people,M Shiraz,cdac5a3d
info,registry,people,P Jayawickrama,b7d1eadd
info,registry,people,P Maduwantha,bb716014
info,registry,people,PS Jayaprakashdaran,5e6c7237
info,registry,people,PWS Dulshan,cd63866f
info,registry,people,R Wijesooriya,84b34104
info,registry,people,RD Kottahachchi,92e41d14
info,registry,people,RMMP Rathnayake,afe830a2
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,RTM Mendis,1be67d37
info,registry,people,S Fernando,2cbe4f4d
info,registry,people,S Gimhan,81acb5f5
info,registry,people,S Gunathilaka,f388129b
info,registry,people,S Ramanayake,da0b3c5a
info,registry,people,S Samarawickrama,9ab2914d
info,registry,people,S de Livera,77708937
info,registry,people,SA Fernando,49fb57d4
info,registry,people,V Prasad,6ea27248
