version,2.3.0
info,balls_per_over,6
info,team,Chilaw Marians Cricket Club
info,team,Panadura Sports Club
info,team_type,club
info,gender,male
info,season,2025/26
info,date,2025/12/27
info,date,2025/12/28
info,date,2025/12/29
info,event,Major League Tournament
info,match_id,1511652
info,match_type,MDM
info,venue,"Nondescripts Cricket Club Ground, Colombo"
info,city,Colombo
info,toss_winner,Panadura Sports Club
info,toss_decision,field
info,umpire,RMPJ Rambukwella
info,umpire,Ranganath Prasanna
info,reserve_umpire,LD Perera
info,match_referee,PS Jayaprakashdaran
info,declared,2
info,outcome,draw
info,player,Chilaw Marians Cricket Club,WWWL Lakshan
info,player,Chilaw Marians Cricket Club,PTM Dabare
info,player,Chilaw Marians Cricket Club,T Amarasinghe
info,player,Chilaw Marians Cricket Club,Sammu Ashan
info,player,Chilaw Marians Cricket Club,KVA Adikari
info,player,Chilaw Marians Cricket Club,U Parakrama
info,player,Chilaw Marians Cricket Club,Darshaka Sandeep
info,player,Chilaw Marians Cricket Club,S Liyanage
info,player,Chilaw Marians Cricket Club,ST de Silva
info,player,Chilaw Marians Cricket Club,S Disanayaka
info,player,Chilaw Marians Cricket Club,I Thimira
info,player,Panadura Sports Club,V Lahiru
info,player,Panadura Sports Club,BOP Fernando
info,player,Panadura Sports Club,Kanchana de Livera
info,player,Panadura Sports Club,V Chathuranga
info,player,Panadura Sports Club,Mahith Perera
info,player,Panadura Sports Club,GSNFG Jayasuriya
info,player,Panadura Sports Club,KDV Vimukthi
info,player,Panadura Sports Club,S Malshan
info,player,Panadura Sports Club,MADI Hemantha
info,player,Panadura Sports Club,N Vimukthi
info,player,Panadura Sports Club,KDA Manoj
info,player,Panadura Sports Club,K Dinesh Shankar
info,registry,people,BOP Fernando,1d048deb
info,registry,people,Darshaka Sandeep,16beba69
info,registry,people,GSNFG Jayasuriya,b58b7db6
info,registry,people,I Thimira,2ee2fcc8
info,registry,people,K Dinesh Shankar,87464d8c
info,registry,people,KDA Manoj,361c920a
info,registry,people,KDV Vimukthi,a65b6015
info,registry,people,KVA Adikari,4830fcaf
info,registry,people,Kanchana de Livera,05464bcd
info,registry,people,LD Perera,aec010b2
info,registry,people,MADI Hemantha,58431ca0
info,registry,people,Mahith Perera,ba9f692f
info,registry,people,N Vimukthi,b215a7be
info,registry,people,PS Jayaprakashdaran,5e6c7237
info,registry,people,PTM Dabare,a97fbc2c
info,registry,people,RMPJ Rambukwella,13fa6ffc
info,registry,people,Ranganath Prasanna,9fc85271
info,registry,people,S Disanayaka,fbc17c95
info,registry,people,S Liyanage,b47a39f9
info,registry,people,S Malshan,68581793
info,registry,people,ST de Silva,54ef649e
info,registry,people,Sammu Ashan,981b9303
info,registry,people,T Amarasinghe,ff3c76ad
info,registry,people,U Parakrama,618c4d8a
info,registry,people,V Chathuranga,5acce86e
info,registry,people,V Lahiru,26cd5968
info,registry,people,WWWL Lakshan,f211b221
