version,2.3.0
info,balls_per_over,6
info,team,Kurunegala Youth Cricket Club
info,team,Nugegoda Sports Welfare Club
info,team_type,club
info,gender,male
info,season,2025/26
info,date,2026/01/30
info,date,2026/01/31
info,date,2026/02/01
info,event,Major League Tournament
info,match_id,1511677
info,match_type,MDM
info,venue,Galle International Stadium
info,city,Galle
info,toss_winner,Kurunegala Youth Cricket Club
info,toss_decision,bat
info,umpire,RD Kottahachchi
info,umpire,BSP Fernando
info,reserve_umpire,NASM de Silva
info,match_referee,CM Wickramasinghe
info,declared,3
info,outcome,draw
info,player,Kurunegala Youth Cricket Club,WWAG Maneeshan
info,player,Kurunegala Youth Cricket Club,Y Maddege
info,player,Kurunegala Youth Cricket Club,Lakvin Abeysinghe
info,player,Kurunegala Youth Cricket Club,DM Sarathchandra
info,player,Kurunegala Youth Cricket Club,LEK Edirisinghe
info,player,Kurunegala Youth Cricket Club,S Sadamal
info,player,Kurunegala Youth Cricket Club,C Sandaru
info,player,Kurunegala Youth Cricket Club,EMCD Edirisinghe
info,player,Kurunegala Youth Cricket Club,D Malan
info,player,Kurunegala Youth Cricket Club,R Ranasinghe
info,player,Kurunegala Youth Cricket Club,EMKB Ekanayake
info,player,Nugegoda Sports Welfare Club,MA Liyanapathiranage
info,player,Nugegoda Sports Welfare Club,Pulindu Perera
info,player,Nugegoda Sports Welfare Club,LA de Zoysa
info,player,Nugegoda Sports Welfare Club,P Hettiwatte
info,player,Nugegoda Sports Welfare Club,Tillakaratne Sampath
info,player,Nugegoda Sports Welfare Club,LPPM Kumara
info,player,Nugegoda Sports Welfare Club,Kevin Perera
info,player,Nugegoda Sports Welfare Club,A Muthalib
info,player,Nugegoda Sports Welfare Club,NR Gunasekera
info,player,Nugegoda Sports Welfare Club,LN Malinga
info,player,Nugegoda Sports Welfare Club,Abdul Hakam
info,registry,people,A Muthalib,c08bdbbe
info,registry,people,Abdul Hakam,de37954b
info,registry,people,BGS Mendis,29a1e487
info,registry,people,BSP Fernando,8a49883f
info,registry,people,C Sandaru,da520be4
info,registry,people,CM Wickramasinghe,21b4786b
info,registry,people,D Malan,47a09f4f
info,registry,people,DM Sarathchandra,18ad2bc0
info,registry,people,EMCD Edirisinghe,0acbbb81
info,registry,people,EMKB Ekanayake,60e5dc97
info,registry,people,Kevin Perera,e88e6a14
info,registry,people,LA de Zoysa,c20d005d
info,registry,people,LEK Edirisinghe,d4410428
info,registry,people,LN Malinga,79eb117d
info,registry,people,LPPM Kumara,24f8d27b
info,registry,people,Lakvin Abeysinghe,15ec4a6c
info,registry,people,MA Liyanapathiranage,8c0ca1bb
info,registry,people,NASM de Silva,81463a8c
info,registry,people,NR Gunasekera,88781812
info,registry,people,P Hettiwatte,195c5fb9
info,registry,people,Pulindu Perera,d33740d9
info,registry,people,R Ranasinghe,46e7f6f9
info,registry,people,RD Kottahachchi,92e41d14
info,registry,people,S Sadamal,21235260
info,registry,people,Tillakaratne Sampath,dc002962
info,registry,people,WWAG Maneeshan,ab46a0c5
info,registry,people,Y Maddege,db3fe21b
