version,2.3.0
info,balls_per_over,6
info,team,Somerset
info,team,Glamorgan
info,team_type,club
info,gender,male
info,season,2026
info,date,2026/06/04
info,event,Vitality Blast Men
info,match_id,1512811
info,match_type,T20
info,overs,20
info,venue,"The Cooper Associates County Ground, Taunton"
info,city,Taunton
info,toss_winner,Glamorgan
info,toss_decision,field
info,player_of_match,SR Dickson
info,umpire,ID Blackwell
info,umpire,JD Shantry
info,tv_umpire,RJ Warren
info,match_referee,DA Cosker
info,winner,Glamorgan
info,winner_wickets,4
info,player,Somerset,T Banton
info,player,Somerset,JF Thomas
info,player,Somerset,J Hermann
info,player,Somerset,TB Abell
info,player,Somerset,THS Rew
info,player,Somerset,L Gregory
info,player,Somerset,DR Sams
info,player,Somerset,C Overton
info,player,Somerset,LP Goldsworthy
info,player,Somerset,J Shaw
info,player,Somerset,JT Ball
info,player,Glamorgan,KS Carlson
info,player,Glamorgan,WT Smale
info,player,Glamorgan,BI Kellaway
info,player,Glamorgan,AM Tribe
info,player,Glamorgan,SR Dickson
info,player,Glamorgan,JDS Neesham
info,player,Glamorgan,DA Douthwaite
info,player,Glamorgan,N McAndrew
info,player,Glamorgan,HE Hurle
info,player,Glamorgan,MS Crane
info,player,Glamorgan,EO Leonard
info,registry,people,AM Tribe,86f84b37
info,registry,people,BI Kellaway,eafe8a94
info,registry,people,C Overton,e9987a94
info,registry,people,DA Cosker,aac9f784
info,registry,people,DA Douthwaite,03df7a25
info,registry,people,DR Sams,caf69bf7
info,registry,people,EO Leonard,660538af
info,registry,people,HE Hurle,b3c19360
info,registry,people,ID Blackwell,818e8bf2
info,registry,people,J Hermann,e87aeca2
info,registry,people,J Shaw,b82e3032
info,registry,people,JD Shantry,70fdd428
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JF Thomas,bdd4bc21
info,registry,people,JT Ball,3d0ed2f9
info,registry,people,KS Carlson,9e707e02
info,registry,people,L Gregory,06c2de82
info,registry,people,LP Goldsworthy,ed47cb25
info,registry,people,MS Crane,f0a0204e
info,registry,people,N McAndrew,38c276e1
info,registry,people,RJ Warren,9d1c62d7
info,registry,people,SR Dickson,2344bdd1
info,registry,people,T Banton,25f7b7d6
info,registry,people,TB Abell,ba9258a7
info,registry,people,THS Rew,a8ffcd4f
info,registry,people,WT Smale,97da28bd
