version,2.3.0
info,balls_per_over,6
info,team,Northamptonshire
info,team,Essex
info,gender,male
info,team_type,club
info,season,2026
info,date,2026/06/26
info,match_id,1512833
info,match_type,T20
info,overs,20
info,event,Vitality Blast Men
info,venue,"County Ground, Northampton"
info,city,Northampton
info,toss_winner,Essex
info,toss_decision,field
info,umpire,James Middlebrook
info,umpire,Naeem Ashraf
info,match_referee,Wayne Noon
info,winner,Northamptonshire
info,winner_runs,130
info,player,Northamptonshire,R Vasconcelos
info,player,Northamptonshire,CA Lynn
info,player,Northamptonshire,DJ Willey
info,player,Northamptonshire,J Broad
info,player,Northamptonshire,SA Zaib
info,player,Northamptonshire,LD McManus
info,player,Northamptonshire,CG Harrison
info,player,Northamptonshire,NA McSweeney
info,player,Northamptonshire,JJG Sales
info,player,Northamptonshire,BW Sanderson
info,player,Northamptonshire,GLS Scrimshaw
info,player,Essex,PI Walter
info,player,Essex,MS Pepper
info,player,Essex,JM Cox
info,player,Essex,CWJ Allison
info,player,Essex,LM Benkenstein
info,player,Essex,MJJ Critchley
info,player,Essex,SR Harmer
info,player,Essex,SML Fernandes
info,player,Essex,S Snater
info,player,Essex,Zaman Akhter
info,player,Essex,CE Bennett
info,registry,people,BW Sanderson,e871a7a1
info,registry,people,CA Lynn,45eda7c8
info,registry,people,CE Bennett,2d69f222
info,registry,people,CG Harrison,f655d740
info,registry,people,CWJ Allison,42ee1d76
info,registry,people,DJ Willey,7f048519
info,registry,people,GLS Scrimshaw,95a06106
info,registry,people,J Broad,ec5160d7
info,registry,people,JJG Sales,a63dfe8a
info,registry,people,JM Cox,ff154ecd
info,registry,people,James Middlebrook,ddcd1520
info,registry,people,LD McManus,6feb46a4
info,registry,people,LM Benkenstein,c2e5539b
info,registry,people,MJJ Critchley,c5cc48bc
info,registry,people,MS Pepper,270e4c23
info,registry,people,NA McSweeney,e94d2d50
info,registry,people,Naeem Ashraf,1866938c
info,registry,people,PI Walter,57590dbb
info,registry,people,R Vasconcelos,efe3fcc5
info,registry,people,S Snater,a790df98
info,registry,people,SA Zaib,ab01e323
info,registry,people,SML Fernandes,60de7b0a
info,registry,people,SR Harmer,23638956
info,registry,people,Wayne Noon,736e1761
info,registry,people,Zaman Akhter,63e1e352
