version,2.3.0
info,balls_per_over,6
info,team,Essex
info,team,Sussex
info,gender,male
info,team_type,club
info,season,2026
info,date,2026/07/03
info,match_id,1512848
info,match_type,T20
info,overs,20
info,event,Vitality Blast Men
info,venue,"County Ground, Hove"
info,city,Brighton
info,toss_winner,Essex
info,toss_decision,bat
info,umpire,ID Blackwell
info,umpire,JC Tredwell
info,match_referee,JJ Swift
info,winner,Essex
info,winner_runs,100
info,player,Essex,PI Walter
info,player,Essex,MS Pepper
info,player,Essex,CWJ Allison
info,player,Essex,LM Benkenstein
info,player,Essex,MJJ Critchley
info,player,Essex,SML Fernandes
info,player,Essex,SR Harmer
info,player,Essex,S Snater
info,player,Essex,Zaman Akhter
info,player,Essex,SJ Cook
info,player,Essex,MW Jones
info,player,Sussex,HD Ward
info,player,Sussex,DP Hughes
info,player,Sussex,GW Thomas
info,player,Sussex,JA Simpson
info,player,Sussex,OJ Carter
info,player,Sussex,TP Alsop
info,player,Sussex,JJ Carson
info,player,Sussex,DR Briggs
info,player,Sussex,HT Crocombe
info,player,Sussex,TS Mills
info,player,Sussex,SF Hunt
info,registry,people,CWJ Allison,42ee1d76
info,registry,people,DP Hughes,f3982af9
info,registry,people,DR Briggs,f3abd0c9
info,registry,people,GW Thomas,f2e28b0c
info,registry,people,HD Ward,9f7932a7
info,registry,people,HT Crocombe,27fc5808
info,registry,people,ID Blackwell,818e8bf2
info,registry,people,JA Simpson,f05fe9b1
info,registry,people,JC Tredwell,49b6c09f
info,registry,people,JJ Carson,344c6d55
info,registry,people,JJ Swift,78deed6e
info,registry,people,LM Benkenstein,c2e5539b
info,registry,people,MJJ Critchley,c5cc48bc
info,registry,people,MS Pepper,270e4c23
info,registry,people,MW Jones,487b8546
info,registry,people,OJ Carter,26db69e6
info,registry,people,PI Walter,57590dbb
info,registry,people,S Snater,a790df98
info,registry,people,SF Hunt,7f7f658b
info,registry,people,SJ Cook,679cd31e
info,registry,people,SML Fernandes,60de7b0a
info,registry,people,SR Harmer,23638956
info,registry,people,TP Alsop,961b8ff1
info,registry,people,TS Mills,245c97cb
info,registry,people,Zaman Akhter,63e1e352
