version,2.3.0
info,balls_per_over,6
info,team,Leicestershire
info,team,Durham
info,gender,male
info,team_type,club
info,season,2026
info,date,2026/07/08
info,match_id,1512863
info,match_type,T20
info,overs,20
info,event,Vitality Blast Men
info,venue,"Grace Road, Leicester"
info,city,Leicester
info,toss_winner,Leicestershire
info,toss_decision,bat
info,umpire,Hassan Adnan
info,umpire,S Widdup
info,match_referee,SM Bartlett
info,winner,Durham
info,winner_wickets,8
info,player,Leicestershire,SS Eskinazi
info,player,Leicestershire,BGF Green
info,player,Leicestershire,Rehan Ahmed
info,player,Leicestershire,RK Patel
info,player,Leicestershire,AJ Turner
info,player,Leicestershire,OB Cox
info,player,Leicestershire,R de Swardt
info,player,Leicestershire,L Trevaskis
info,player,Leicestershire,JH Davey
info,player,Leicestershire,J Hull
info,player,Leicestershire,AM Green
info,player,Durham,G Clark
info,player,Durham,AZ Lees
info,player,Durham,BS McKinney
info,player,Durham,CN Ackermann
info,player,Durham,BA Carse
info,player,Durham,OG Robinson
info,player,Durham,Kasey Aldridge
info,player,Durham,MJ Potts
info,player,Durham,CF Parkinson
info,player,Durham,LS Robinson
info,player,Durham,NA Sowter
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,AM Green,bf26cd81
info,registry,people,AZ Lees,c9c0fe50
info,registry,people,BA Carse,cad40f5e
info,registry,people,BGF Green,34b37279
info,registry,people,BS McKinney,1db6e336
info,registry,people,CF Parkinson,aa1210d8
info,registry,people,CN Ackermann,e734d090
info,registry,people,G Clark,4fd09cfc
info,registry,people,Hassan Adnan,56ca7a8c
info,registry,people,J Hull,1cc0a83d
info,registry,people,JH Davey,d3868bd0
info,registry,people,Kasey Aldridge,31b01074
info,registry,people,L Trevaskis,b5781ac3
info,registry,people,LS Robinson,32ccd79b
info,registry,people,MJ Potts,894b2d25
info,registry,people,NA Sowter,ee0c05c0
info,registry,people,OB Cox,324a6ee1
info,registry,people,OG Robinson,60f4c586
info,registry,people,R de Swardt,57e1d7e4
info,registry,people,RK Patel,4531f249
info,registry,people,Rehan Ahmed,0ecb4de6
info,registry,people,S Widdup,65bf2837
info,registry,people,SM Bartlett,7ba18406
info,registry,people,SS Eskinazi,75cbed9b
