version,2.3.0
info,balls_per_over,6
info,team,Northamptonshire
info,team,Somerset
info,gender,male
info,team_type,club
info,season,2026
info,date,2026/07/10
info,match_id,1512870
info,match_type,T20
info,overs,20
info,event,Vitality Blast Men
info,venue,"The Cooper Associates County Ground, Taunton"
info,city,Taunton
info,toss_winner,Somerset
info,toss_decision,field
info,umpire,NJ Llong
info,umpire,Tom Lungley
info,match_referee,JJ Swift
info,winner,Somerset
info,winner_wickets,7
info,player,Northamptonshire,R Vasconcelos
info,player,Northamptonshire,CA Lynn
info,player,Northamptonshire,NA McSweeney
info,player,Northamptonshire,LD McManus
info,player,Northamptonshire,DJ Willey
info,player,Northamptonshire,SA Zaib
info,player,Northamptonshire,LPJ Kimber
info,player,Northamptonshire,AH Miller
info,player,Northamptonshire,JJG Sales
info,player,Northamptonshire,BW Sanderson
info,player,Northamptonshire,GLS Scrimshaw
info,player,Somerset,WCF Smeed
info,player,Somerset,THS Rew
info,player,Somerset,T Kohler-Cadmore
info,player,Somerset,JEK Rew
info,player,Somerset,JF Thomas
info,player,Somerset,L Gregory
info,player,Somerset,DR Sams
info,player,Somerset,C Overton
info,player,Somerset,LP Goldsworthy
info,player,Somerset,RP Meredith
info,player,Somerset,JT Ball
info,registry,people,AH Miller,693af62a
info,registry,people,BW Sanderson,e871a7a1
info,registry,people,C Overton,e9987a94
info,registry,people,CA Lynn,45eda7c8
info,registry,people,DJ Willey,7f048519
info,registry,people,DR Sams,caf69bf7
info,registry,people,GLS Scrimshaw,95a06106
info,registry,people,JEK Rew,521595e7
info,registry,people,JF Thomas,bdd4bc21
info,registry,people,JJ Swift,78deed6e
info,registry,people,JJG Sales,a63dfe8a
info,registry,people,JT Ball,3d0ed2f9
info,registry,people,L Gregory,06c2de82
info,registry,people,LD McManus,6feb46a4
info,registry,people,LP Goldsworthy,ed47cb25
info,registry,people,LPJ Kimber,9f812582
info,registry,people,NA McSweeney,e94d2d50
info,registry,people,NJ Llong,573fb985
info,registry,people,R Vasconcelos,efe3fcc5
info,registry,people,RP Meredith,64775749
info,registry,people,SA Zaib,ab01e323
info,registry,people,T Kohler-Cadmore,f836b33d
info,registry,people,THS Rew,a8ffcd4f
info,registry,people,Tom Lungley,75169b8c
info,registry,people,WCF Smeed,4e18e961
