version,2.3.0
info,balls_per_over,6
info,team,Durham
info,team,Lancashire
info,gender,male
info,team_type,club
info,season,2026
info,date,2026/07/12
info,match_id,1512874
info,match_type,T20
info,overs,20
info,event,Vitality Blast Men
info,venue,"Old Trafford, Manchester"
info,city,Manchester
info,toss_winner,Durham
info,toss_decision,bat
info,umpire,Naeem Ashraf
info,umpire,PR Pollard
info,match_referee,Phil Whitticase
info,winner,Lancashire
info,winner_wickets,3
info,player,Durham,G Clark
info,player,Durham,AZ Lees
info,player,Durham,BS McKinney
info,player,Durham,CN Ackermann
info,player,Durham,OG Robinson
info,player,Durham,Kasey Aldridge
info,player,Durham,BA Carse
info,player,Durham,BA Raine
info,player,Durham,MJ Potts
info,player,Durham,CF Parkinson
info,player,Durham,NA Sowter
info,player,Lancashire,PD Salt
info,player,Lancashire,BR McDermott
info,player,Lancashire,LS Livingstone
info,player,Lancashire,KK Jennings
info,player,Lancashire,Shadab Khan
info,player,Lancashire,MF Hurst
info,player,Lancashire,J Moores
info,player,Lancashire,TW Hartley
info,player,Lancashire,L Wood
info,player,Lancashire,MT Stanley
info,player,Lancashire,S Mahmood
info,registry,people,AZ Lees,c9c0fe50
info,registry,people,BA Carse,cad40f5e
info,registry,people,BA Raine,4c0f3806
info,registry,people,BR McDermott,c41043e6
info,registry,people,BS McKinney,1db6e336
info,registry,people,CF Parkinson,aa1210d8
info,registry,people,CN Ackermann,e734d090
info,registry,people,G Clark,4fd09cfc
info,registry,people,J Moores,e24cf4d5
info,registry,people,KK Jennings,8479a24a
info,registry,people,Kasey Aldridge,31b01074
info,registry,people,L Wood,65b6943c
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MF Hurst,40e4cf47
info,registry,people,MJ Potts,894b2d25
info,registry,people,MT Stanley,faa8cfba
info,registry,people,NA Sowter,ee0c05c0
info,registry,people,Naeem Ashraf,1866938c
info,registry,people,OG Robinson,60f4c586
info,registry,people,PD Salt,3d284ca3
info,registry,people,PR Pollard,85d884bb
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,S Mahmood,0f6db197
info,registry,people,Shadab Khan,9de62878
info,registry,people,TW Hartley,22b98d7c
