version,2.3.0
info,balls_per_over,6
info,team,Warwickshire
info,team,The Blaze
info,team_type,club
info,gender,female
info,season,2026
info,date,2026/05/27
info,event,Vitality Blast Women
info,match_id,1512899
info,match_type,T20
info,overs,20
info,match_number,10
info,venue,"Edgbaston, Birmingham"
info,city,Birmingham
info,toss_winner,The Blaze
info,toss_decision,field
info,umpire,G Bambury
info,umpire,PK Baldwin
info,match_referee,H Pack
info,winner,The Blaze
info,winner_wickets,4
info,player,Warwickshire,M Austin
info,player,Warwickshire,AJ Freeborn
info,player,Warwickshire,G Redmayne
info,player,Warwickshire,C Pavely
info,player,Warwickshire,A Surenkumar
info,player,Warwickshire,NAJ Wraith
info,player,Warwickshire,MLL Taylor
info,player,Warwickshire,A Stonehouse
info,player,Warwickshire,MSL Taylor
info,player,Warwickshire,GK Davis
info,player,Warwickshire,PJ Brett
info,player,The Blaze,M Kelly
info,player,The Blaze,TT Beaumont
info,player,The Blaze,CR Knott
info,player,The Blaze,GA Elwiss
info,player,The Blaze,E Claridge
info,player,The Blaze,E Jones
info,player,The Blaze,GEB Boyce
info,player,The Blaze,LF Higham
info,player,The Blaze,J Groves
info,player,The Blaze,CN Phillips
info,player,The Blaze,G Ballinger
info,registry,people,A Stonehouse,c9366237
info,registry,people,A Surenkumar,cf9338c9
info,registry,people,AJ Freeborn,c6da6ebf
info,registry,people,C Pavely,907e5f6c
info,registry,people,CN Phillips,c3632caf
info,registry,people,CR Knott,d7ff1adc
info,registry,people,E Claridge,d8c6a647
info,registry,people,E Jones,4cf60e73
info,registry,people,G Ballinger,2f485713
info,registry,people,G Bambury,a8e0ed6a
info,registry,people,G Redmayne,324b9eee
info,registry,people,GA Elwiss,287ed3a0
info,registry,people,GEB Boyce,5b1f15fc
info,registry,people,GK Davis,54719239
info,registry,people,H Pack,fed53c91
info,registry,people,J Groves,11ff23e3
info,registry,people,LF Higham,fbd79b9b
info,registry,people,M Austin,dc1fc556
info,registry,people,M Kelly,ebf683f9
info,registry,people,MLL Taylor,014cfac4
info,registry,people,MSL Taylor,918928a7
info,registry,people,NAJ Wraith,1ec1998e
info,registry,people,PJ Brett,41117b19
info,registry,people,PK Baldwin,6bb53c12
info,registry,people,TT Beaumont,b2664905
