version,2.3.0
info,balls_per_over,6
info,team,The Blaze
info,team,Durham
info,team_type,club
info,gender,female
info,season,2026
info,date,2026/05/31
info,event,Vitality Blast Women
info,match_id,1512908
info,match_type,T20
info,overs,20
info,match_number,19
info,venue,"Trent Bridge, Nottingham"
info,city,Nottingham
info,toss_winner,Durham
info,toss_decision,field
info,umpire,G Brown
info,umpire,GD Cross
info,match_referee,Wayne Noon
info,winner,Durham
info,winner_wickets,7
info,player,The Blaze,M Kelly
info,player,The Blaze,TT Beaumont
info,player,The Blaze,CR Knott
info,player,The Blaze,GA Elwiss
info,player,The Blaze,E Claridge
info,player,The Blaze,E Jones
info,player,The Blaze,PV Thanawala
info,player,The Blaze,GEB Boyce
info,player,The Blaze,LF Higham
info,player,The Blaze,G Ballinger
info,player,The Blaze,M Andrews
info,player,Durham,HJ Armitage
info,player,Durham,MK Villiers
info,player,Durham,E Windsor
info,player,Durham,BAM Heath
info,player,Durham,H Graham
info,player,Durham,M Rogers
info,player,Durham,GJ Thompson
info,player,Durham,S Turner
info,player,Durham,T Johnson
info,player,Durham,A Glen
info,player,Durham,KA Levick
info,registry,people,A Glen,9da0d1e5
info,registry,people,BAM Heath,3b5a9438
info,registry,people,CR Knott,d7ff1adc
info,registry,people,E Claridge,d8c6a647
info,registry,people,E Jones,4cf60e73
info,registry,people,E Windsor,1d7f8759
info,registry,people,G Ballinger,2f485713
info,registry,people,G Brown,4b781bd0
info,registry,people,GA Elwiss,287ed3a0
info,registry,people,GD Cross,776fbf9b
info,registry,people,GEB Boyce,5b1f15fc
info,registry,people,GJ Thompson,92af1c38
info,registry,people,H Graham,99812d10
info,registry,people,HJ Armitage,f05167d2
info,registry,people,KA Levick,8f30d191
info,registry,people,LF Higham,fbd79b9b
info,registry,people,M Andrews,1998dd8c
info,registry,people,M Kelly,ebf683f9
info,registry,people,M Rogers,a655e06f
info,registry,people,MK Villiers,cd62f670
info,registry,people,PV Thanawala,b556a68f
info,registry,people,S Turner,7442f8dd
info,registry,people,T Johnson,b0b14235
info,registry,people,TT Beaumont,b2664905
info,registry,people,Wayne Noon,736e1761
