version,2.3.0
info,balls_per_over,6
info,team,Surrey
info,team,The Blaze
info,gender,female
info,team_type,club
info,season,2026
info,date,2026/07/03
info,match_id,1512928
info,match_type,T20
info,overs,20
info,event,Vitality Blast Women
info,match_number,39
info,venue,"Trent Bridge, Nottingham"
info,city,Nottingham
info,toss_winner,Surrey
info,toss_decision,bat
info,player_of_match,K Moore
info,umpire,AC Harris
info,umpire,PK Baldwin
info,tv_umpire,James Middlebrook
info,match_referee,SJ Davis
info,winner,Surrey
info,winner_runs,34
info,player,Surrey,BF Smith
info,player,Surrey,PJ Scholfield
info,player,Surrey,L Harris
info,player,Surrey,J Spence
info,player,Surrey,AZ Monaghan
info,player,Surrey,PA Franklin
info,player,Surrey,K Moore
info,player,Surrey,AN Davidson-Richards
info,player,Surrey,R MacDonald-Gay
info,player,Surrey,PA Chatterji
info,player,Surrey,D Gregory
info,player,The Blaze,M Kelly
info,player,The Blaze,TT Beaumont
info,player,The Blaze,KE Bryce
info,player,The Blaze,CR Knott
info,player,The Blaze,GA Elwiss
info,player,The Blaze,SJ Bryce
info,player,The Blaze,E Jones
info,player,The Blaze,PV Thanawala
info,player,The Blaze,KL Gordon
info,player,The Blaze,J Groves
info,player,The Blaze,M Andrews
info,registry,people,AC Harris,ef14c0ec
info,registry,people,AN Davidson-Richards,35828bdd
info,registry,people,AZ Monaghan,0c694738
info,registry,people,BF Smith,c64b7c5b
info,registry,people,CR Knott,d7ff1adc
info,registry,people,D Gregory,b3ccffff
info,registry,people,E Jones,4cf60e73
info,registry,people,GA Elwiss,287ed3a0
info,registry,people,J Groves,11ff23e3
info,registry,people,J Spence,79dd743c
info,registry,people,James Middlebrook,ddcd1520
info,registry,people,K Moore,d12c8445
info,registry,people,KE Bryce,f13d3eba
info,registry,people,KL Gordon,00823a96
info,registry,people,L Harris,36e2dc83
info,registry,people,M Andrews,1998dd8c
info,registry,people,M Kelly,ebf683f9
info,registry,people,PA Chatterji,8e7be59c
info,registry,people,PA Franklin,d6a9af83
info,registry,people,PJ Scholfield,588360ee
info,registry,people,PK Baldwin,6bb53c12
info,registry,people,PV Thanawala,b556a68f
info,registry,people,R MacDonald-Gay,459a7b0a
info,registry,people,SJ Bryce,2ca65aee
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,TT Beaumont,b2664905
