version,2.3.0
info,balls_per_over,6
info,team,Glamorgan
info,team,Durham
info,gender,male
info,team_type,club
info,season,2026
info,date,2026/07/29
info,match_id,1513478
info,match_type,ODM
info,overs,50
info,event,One-Day Cup
info,venue,"Roseworth Terrace, Gosforth"
info,city,Gosforth
info,toss_winner,Durham
info,toss_decision,field
info,umpire,Chris Watts
info,umpire,N Pratt
info,match_referee,IN Ramage
info,winner,Durham
info,winner_wickets,3
info,player,Glamorgan,Zain-ul-Hassan
info,player,Glamorgan,EJ Byrom
info,player,Glamorgan,CR Nicholls
info,player,Glamorgan,WT Smale
info,player,Glamorgan,HE Hurle
info,player,Glamorgan,AJ Horton
info,player,Glamorgan,DA Douthwaite
info,player,Glamorgan,JI Hope-Bell
info,player,Glamorgan,AW Gorvin
info,player,Glamorgan,CPH O'Riordan
info,player,Glamorgan,RCM Franco
info,player,Durham,G Clark
info,player,Durham,AZ Lees
info,player,Durham,EN Gay
info,player,Durham,BA Stokes
info,player,Durham,WMH Rhodes
info,player,Durham,CN Ackermann
info,player,Durham,OG Robinson
info,player,Durham,Kasey Aldridge
info,player,Durham,J Minto
info,player,Durham,D Olivier
info,player,Durham,Shafiqullah Ghafari
info,registry,people,AJ Horton,cdc3e595
info,registry,people,AW Gorvin,7d7233a9
info,registry,people,AZ Lees,c9c0fe50
info,registry,people,BA Stokes,e087956b
info,registry,people,CN Ackermann,e734d090
info,registry,people,CPH O'Riordan,fc218d8d
info,registry,people,CR Nicholls,ef65ab50
info,registry,people,Chris Watts,3cfb1554
info,registry,people,D Olivier,a8e56914
info,registry,people,DA Douthwaite,03df7a25
info,registry,people,EJ Byrom,9e1b7792
info,registry,people,EN Gay,aa710a58
info,registry,people,G Clark,4fd09cfc
info,registry,people,HE Hurle,b3c19360
info,registry,people,IN Ramage,33cb7803
info,registry,people,J Minto,fe1e8fe9
info,registry,people,JI Hope-Bell,473b7fff
info,registry,people,Kasey Aldridge,31b01074
info,registry,people,N Pratt,01f65cd3
info,registry,people,OG Robinson,60f4c586
info,registry,people,RCM Franco,f309b0f1
info,registry,people,Shafiqullah Ghafari,98d7059f
info,registry,people,WMH Rhodes,f54dbda7
info,registry,people,WT Smale,97da28bd
info,registry,people,Zain-ul-Hassan,d12cead8
