version,2.3.0
info,balls_per_over,6
info,team,Lancashire
info,team,Warwickshire
info,gender,male
info,team_type,club
info,season,2026
info,date,2026/08/09
info,match_id,1513515
info,match_type,ODM
info,overs,50
info,event,One-Day Cup
info,venue,Rugby School Ground
info,city,Rugby
info,toss_winner,Warwickshire
info,toss_decision,field
info,umpire,MJ Saggers
info,umpire,S Widdup
info,match_referee,SG Hinks
info,winner,Warwickshire
info,winner_wickets,2
info,player,Lancashire,KK Jennings
info,player,Lancashire,MF Hurst
info,player,Lancashire,JJ Bohannon
info,player,Lancashire,MS Harris
info,player,Lancashire,R Flintoff
info,player,Lancashire,Harry Singh
info,player,Lancashire,JM Blatherwick
info,player,Lancashire,AR Shetty
info,player,Lancashire,GP Balderson
info,player,Lancashire,TE Bailey
info,player,Lancashire,L Hands
info,player,Warwickshire,DR Mousley
info,player,Warwickshire,RM Yates
info,player,Warwickshire,Z Malik
info,player,Warwickshire,VL Jani
info,player,Warwickshire,AL Davies
info,player,Warwickshire,K Smith
info,player,Warwickshire,GHS Garton
info,player,Warwickshire,MG Booth
info,player,Warwickshire,ER Bamber
info,player,Warwickshire,NN Gilchrist
info,player,Warwickshire,OJ Hannon-Dalby
info,registry,people,AL Davies,29ede60b
info,registry,people,AR Shetty,d0bec581
info,registry,people,DR Mousley,876dbe2d
info,registry,people,ER Bamber,948beb1f
info,registry,people,GHS Garton,be869ccf
info,registry,people,GP Balderson,23dee937
info,registry,people,Harry Singh,fdd5ba1e
info,registry,people,JJ Bohannon,fd96de7c
info,registry,people,JM Blatherwick,35c08a29
info,registry,people,K Smith,ee6ebf47
info,registry,people,KK Jennings,8479a24a
info,registry,people,L Hands,8be27fac
info,registry,people,MF Hurst,40e4cf47
info,registry,people,MG Booth,92205bc7
info,registry,people,MJ Saggers,402d5937
info,registry,people,MS Harris,9e85455c
info,registry,people,NN Gilchrist,93cad673
info,registry,people,OJ Hannon-Dalby,e0ac7144
info,registry,people,R Flintoff,4fad64fd
info,registry,people,RM Yates,3581a798
info,registry,people,S Widdup,65bf2837
info,registry,people,SG Hinks,0bb4dc0d
info,registry,people,TE Bailey,b9877635
info,registry,people,VL Jani,ecdd6cc9
info,registry,people,Z Malik,1732cd55
