version,2.3.0
info,balls_per_over,6
info,team,Warwickshire
info,team,Kent
info,gender,male
info,team_type,club
info,season,2026
info,date,2026/08/11
info,match_id,1513522
info,match_type,ODM
info,overs,50
info,event,One-Day Cup
info,venue,Rugby School Ground
info,city,Rugby
info,toss_winner,Kent
info,toss_decision,field
info,umpire,C McGarry
info,umpire,W Mohammed
info,match_referee,IN Ramage
info,winner,Warwickshire
info,winner_runs,87
info,player,Warwickshire,K Smith
info,player,Warwickshire,RM Yates
info,player,Warwickshire,Z Malik
info,player,Warwickshire,VL Jani
info,player,Warwickshire,AL Davies
info,player,Warwickshire,GHS Garton
info,player,Warwickshire,JB Lintott
info,player,Warwickshire,MG Booth
info,player,Warwickshire,ER Bamber
info,player,Warwickshire,TC Ali
info,player,Warwickshire,OJ Hannon-Dalby
info,player,Kent,BJ Dawkins
info,player,Kent,DJ Bell-Drummond
info,player,Kent,SA Northeast
info,player,Kent,HZ Finch
info,player,Kent,CG Benjamin
info,player,Kent,JK Denly
info,player,Kent,Ekansh Singh
info,player,Kent,JDM Evison
info,player,Kent,G Stewart
info,player,Kent,ME Milnes
info,player,Kent,MW Parkinson
info,registry,people,AL Davies,29ede60b
info,registry,people,BJ Dawkins,3644da6d
info,registry,people,C McGarry,fdf4ec77
info,registry,people,CG Benjamin,95a15317
info,registry,people,DJ Bell-Drummond,8f938a32
info,registry,people,ER Bamber,948beb1f
info,registry,people,Ekansh Singh,82585454
info,registry,people,G Stewart,a77472dc
info,registry,people,GHS Garton,be869ccf
info,registry,people,HZ Finch,6b16f8ba
info,registry,people,IN Ramage,33cb7803
info,registry,people,JB Lintott,e5218454
info,registry,people,JDM Evison,00cada13
info,registry,people,JK Denly,a6581d15
info,registry,people,K Smith,ee6ebf47
info,registry,people,ME Milnes,3dcd1e8d
info,registry,people,MG Booth,92205bc7
info,registry,people,MW Parkinson,19708692
info,registry,people,OJ Hannon-Dalby,e0ac7144
info,registry,people,RM Yates,3581a798
info,registry,people,SA Northeast,7e4c8ba3
info,registry,people,TC Ali,634749ad
info,registry,people,VL Jani,ecdd6cc9
info,registry,people,W Mohammed,0a3e73a5
info,registry,people,Z Malik,1732cd55
