version,2.3.0
info,balls_per_over,6
info,team,Surrey
info,team,Durham
info,gender,female
info,team_type,club
info,season,2026
info,date,2026/06/23
info,match_id,1513578
info,match_type,ODM
info,overs,50
info,event,ECB Women's One-Day Cup
info,match_number,45
info,venue,"Riverside Ground, Chester-le-Street"
info,city,Chester-le-Street
info,toss_winner,Surrey
info,toss_decision,bat
info,umpire,AC Harris
info,umpire,Naeem Ashraf
info,match_referee,H Pack
info,winner,Durham
info,winner_wickets,6
info,player,Surrey,BF Smith
info,player,Surrey,R King
info,player,Surrey,IK Dhaliwal
info,player,Surrey,AN Davidson-Richards
info,player,Surrey,PJ Scholfield
info,player,Surrey,J Spence
info,player,Surrey,A Cranstone
info,player,Surrey,IK Sidhu
info,player,Surrey,L Harris
info,player,Surrey,B Miles
info,player,Surrey,D Gregory
info,player,Durham,EK Marlow
info,player,Durham,M Rogers
info,player,Durham,HJ Armitage
info,player,Durham,MK Villiers
info,player,Durham,E Windsor
info,player,Durham,H Graham
info,player,Durham,GJ Thompson
info,player,Durham,A Glen
info,player,Durham,T Johnson
info,player,Durham,S Turner
info,player,Durham,KA Levick
info,registry,people,A Cranstone,b9a52291
info,registry,people,A Glen,9da0d1e5
info,registry,people,AC Harris,ef14c0ec
info,registry,people,AN Davidson-Richards,35828bdd
info,registry,people,B Miles,39155047
info,registry,people,BF Smith,c64b7c5b
info,registry,people,D Gregory,b3ccffff
info,registry,people,E Windsor,1d7f8759
info,registry,people,EK Marlow,ac574559
info,registry,people,GJ Thompson,92af1c38
info,registry,people,H Graham,99812d10
info,registry,people,H Pack,fed53c91
info,registry,people,HJ Armitage,f05167d2
info,registry,people,IK Dhaliwal,70d15759
info,registry,people,IK Sidhu,7b588155
info,registry,people,J Spence,79dd743c
info,registry,people,KA Levick,8f30d191
info,registry,people,L Harris,36e2dc83
info,registry,people,M Rogers,a655e06f
info,registry,people,MK Villiers,cd62f670
info,registry,people,Naeem Ashraf,1866938c
info,registry,people,PJ Scholfield,588360ee
info,registry,people,R King,113d3c48
info,registry,people,S Turner,7442f8dd
info,registry,people,T Johnson,b0b14235
