version,2.3.0
info,balls_per_over,6
info,team,Noakhali Express
info,team,Sylhet Titans
info,team_type,club
info,gender,male
info,season,2025/26
info,date,2025/12/27
info,event,Bangladesh Premier League
info,match_id,1516540
info,match_type,T20
info,overs,20
info,match_number,4
info,venue,Sylhet International Cricket Stadium
info,city,Sylhet
info,toss_winner,Sylhet Titans
info,toss_decision,field
info,player_of_match,Khaled Ahmed
info,umpire,Asif Yaqoob
info,umpire,Mohammad Kamruzzaman
info,reserve_umpire,Masudur Rahman
info,tv_umpire,Sajedul Islam
info,match_referee,Akhtar Ahmad
info,target_overs,2,20
info,target_runs,2,144
info,winner,Sylhet Titans
info,winner_wickets,1
info,player,Noakhali Express,Maaz Sadaqat
info,player,Noakhali Express,Habibur Rahman
info,player,Noakhali Express,Shykat Ali
info,player,Noakhali Express,Haider Ali
info,player,Noakhali Express,Mahidul Islam Ankon
info,player,Noakhali Express,Sabbir Hossain
info,player,Noakhali Express,Jaker Ali
info,player,Noakhali Express,Rejaur Rahman
info,player,Noakhali Express,Hasan Mahmud
info,player,Noakhali Express,Mehedi Hasan Rana
info,player,Noakhali Express,Zahir Khan
info,player,Sylhet Titans,Saim Ayub
info,player,Sylhet Titans,Rony Talukdar
info,player,Sylhet Titans,Zakir Hasan
info,player,Sylhet Titans,Parvez Hossain Emon
info,player,Sylhet Titans,Mehedi Hasan Miraz
info,player,Sylhet Titans,Afif Hossain
info,player,Sylhet Titans,EA Brookes
info,player,Sylhet Titans,Nasum Ahmed
info,player,Sylhet Titans,Khaled Ahmed
info,player,Sylhet Titans,Mohammad Amir
info,player,Sylhet Titans,Salman Irshad
info,registry,people,Afif Hossain,37138918
info,registry,people,Akhtar Ahmad,29859e71
info,registry,people,Asif Yaqoob,6b35790c
info,registry,people,EA Brookes,6ce9f3eb
info,registry,people,Habibur Rahman,cee2fbd8
info,registry,people,Haider Ali,c13e34f4
info,registry,people,Hasan Mahmud,80ad39ac
info,registry,people,Hassan Eisakhil,754c883c
info,registry,people,Jaker Ali,cd56a813
info,registry,people,Khaled Ahmed,5dbdecf1
info,registry,people,Maaz Sadaqat,6d9560f3
info,registry,people,Mahidul Islam Ankon,dac6aabc
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,Mehedi Hasan Miraz,c58b0108
info,registry,people,Mehedi Hasan Rana,0b7363da
info,registry,people,Mohammad Amir,e174dadd
info,registry,people,Mohammad Kamruzzaman,74eb8175
info,registry,people,Nasum Ahmed,37654b75
info,registry,people,Parvez Hossain Emon,489aaf0a
info,registry,people,Rejaur Rahman,267be846
info,registry,people,Rony Talukdar,8bd614b2
info,registry,people,Sabbir Hossain,047e80ca
info,registry,people,Saim Ayub,33609a8c
info,registry,people,Sajedul Islam,0443414a
info,registry,people,Salman Irshad,30afc92b
info,registry,people,Shykat Ali,288dd46e
info,registry,people,Zahir Khan,786b7fe8
info,registry,people,Zakir Hasan,e3e09091
