version,2.3.0
info,balls_per_over,5
info,team,Manchester Super Giants
info,team,Southern Brave
info,gender,female
info,team_type,club
info,season,2026
info,date,2026/08/08
info,match_id,1521222
info,match_type,T20
info,overs,20
info,event,The Hundred Women's Competition
info,match_number,26
info,venue,"The Rose Bowl, Southampton"
info,city,Southampton
info,toss_winner,Manchester Super Giants
info,toss_decision,bat
info,player_of_match,MK Villiers
info,umpire,JC Tredwell
info,umpire,Mark Newell
info,reserve_umpire,G Brown
info,tv_umpire,NJ Llong
info,match_referee,H Pack
info,target_overs,2,20
info,target_runs,2,140
info,winner,Manchester Super Giants
info,winner_runs,27
info,player,Manchester Super Giants,S Mandhana
info,player,Manchester Super Giants,G Scrivens
info,player,Manchester Super Giants,RM Ghosh
info,player,Manchester Super Giants,MM Lanning
info,player,Manchester Super Giants,KE Bryce
info,player,Manchester Super Giants,M Brown
info,player,Manchester Super Giants,MK Villiers
info,player,Manchester Super Giants,S Ecclestone
info,player,Manchester Super Giants,R MacDonald-Gay
info,player,Manchester Super Giants,G Ballinger
info,player,Manchester Super Giants,R Tyson
info,player,Southern Brave,L Lee
info,player,Southern Brave,ME Bouchier
info,player,Southern Brave,L Wolvaardt
info,player,Southern Brave,S Molineux
info,player,Southern Brave,CR Knott
info,player,Southern Brave,J Grewcock
info,player,Southern Brave,IECM Wong
info,player,Southern Brave,ND Dattani
info,player,Southern Brave,S Glenn
info,player,Southern Brave,LK Bell
info,player,Southern Brave,MR Corteen-Coleman
info,registry,people,CR Knott,d7ff1adc
info,registry,people,G Ballinger,2f485713
info,registry,people,G Brown,4b781bd0
info,registry,people,G Scrivens,7306c48d
info,registry,people,H Pack,fed53c91
info,registry,people,IECM Wong,e5b17517
info,registry,people,J Grewcock,92b94582
info,registry,people,JC Tredwell,49b6c09f
info,registry,people,KE Bryce,f13d3eba
info,registry,people,L Lee,7b01ce83
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,LK Bell,38b4583c
info,registry,people,M Brown,78bec461
info,registry,people,ME Bouchier,c2554b59
info,registry,people,MK Villiers,cd62f670
info,registry,people,MM Lanning,27e003ce
info,registry,people,MR Corteen-Coleman,9049ab63
info,registry,people,Mark Newell,b33f0fa1
info,registry,people,ND Dattani,13c19f32
info,registry,people,NJ Llong,573fb985
info,registry,people,R MacDonald-Gay,459a7b0a
info,registry,people,R Tyson,5c9d5093
info,registry,people,RM Ghosh,721e0199
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Glenn,b34e0c77
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Molineux,99e23670
