version,2.3.0
info,balls_per_over,5
info,team,Southern Brave
info,team,Sunrisers Leeds
info,gender,female
info,team_type,club
info,season,2026
info,date,2026/08/14
info,match_id,1521229
info,match_type,T20
info,overs,20
info,event,The Hundred Women's Competition
info,venue,"Kennington Oval, London"
info,city,London
info,toss_winner,Sunrisers Leeds
info,toss_decision,field
info,player_of_match,HL Baker
info,umpire,G Brown
info,umpire,N Pratt
info,reserve_umpire,S Widdup
info,tv_umpire,M Burns
info,match_referee,Phil Whitticase
info,target_overs,2,20
info,target_runs,2,115
info,winner,Sunrisers Leeds
info,winner_wickets,5
info,player,Southern Brave,L Lee
info,player,Southern Brave,ME Bouchier
info,player,Southern Brave,L Wolvaardt
info,player,Southern Brave,S Molineux
info,player,Southern Brave,CR Knott
info,player,Southern Brave,J Grewcock
info,player,Southern Brave,ND Dattani
info,player,Southern Brave,IECM Wong
info,player,Southern Brave,S Glenn
info,player,Southern Brave,LK Bell
info,player,Southern Brave,MR Corteen-Coleman
info,player,Sunrisers Leeds,BF Smith
info,player,Sunrisers Leeds,P Litchfield
info,player,Sunrisers Leeds,L Winfield-Hill
info,player,Sunrisers Leeds,A Sutherland
info,player,Sunrisers Leeds,DB Sharma
info,player,Sunrisers Leeds,DR Gibson
info,player,Sunrisers Leeds,JL Jonassen
info,player,Sunrisers Leeds,DEM Carter
info,player,Sunrisers Leeds,KL Cross
info,player,Sunrisers Leeds,CM McCarthy
info,player,Sunrisers Leeds,HL Baker
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,BF Smith,c64b7c5b
info,registry,people,CM McCarthy,7ce7fb3c
info,registry,people,CR Knott,d7ff1adc
info,registry,people,DB Sharma,201fef33
info,registry,people,DEM Carter,c3394c16
info,registry,people,DR Gibson,d2763568
info,registry,people,G Brown,4b781bd0
info,registry,people,HL Baker,cefad9fd
info,registry,people,IECM Wong,e5b17517
info,registry,people,J Grewcock,92b94582
info,registry,people,JL Jonassen,0475a86b
info,registry,people,KL Cross,1ade138e
info,registry,people,L Lee,7b01ce83
info,registry,people,L Winfield-Hill,5230a33d
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,LK Bell,38b4583c
info,registry,people,M Burns,b3bd0666
info,registry,people,ME Bouchier,c2554b59
info,registry,people,MR Corteen-Coleman,9049ab63
info,registry,people,N Pratt,01f65cd3
info,registry,people,ND Dattani,13c19f32
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,S Glenn,b34e0c77
info,registry,people,S Molineux,99e23670
info,registry,people,S Widdup,65bf2837
