version,2.3.0
info,balls_per_over,6
info,team,Quetta Gladiators
info,team,Islamabad United
info,team_type,club
info,gender,male
info,season,2026
info,date,2026/04/02
info,event,Pakistan Super League
info,match_id,1527560
info,match_type,T20
info,overs,20
info,match_number,9
info,venue,"Gaddafi Stadium, Lahore"
info,city,Lahore
info,toss_winner,Quetta Gladiators
info,toss_decision,bat
info,player_of_match,Shadab Khan
info,umpire,AG Wharf
info,umpire,Rashid Riaz
info,reserve_umpire,Abdul Muqeet
info,tv_umpire,CM Brown
info,match_referee,Ali Naqvi
info,target_overs,2,20
info,target_runs,2,184
info,winner,Islamabad United
info,winner_wickets,8
info,player,Quetta Gladiators,Saud Shakeel
info,player,Quetta Gladiators,Shamyl Hussain
info,player,Quetta Gladiators,Khawaja Nafay
info,player,Quetta Gladiators,Hassan Nawaz
info,player,Quetta Gladiators,BR McDermott
info,player,Quetta Gladiators,BJ Jacobs
info,player,Quetta Gladiators,TK Curran
info,player,Quetta Gladiators,Ahmed Daniyal
info,player,Quetta Gladiators,AS Joseph
info,player,Quetta Gladiators,Abrar Ahmed
info,player,Quetta Gladiators,Usman Tariq
info,player,Islamabad United,DP Conway
info,player,Islamabad United,Sameer Minhas
info,player,Islamabad United,AGS Gous
info,player,Islamabad United,Shadab Khan
info,player,Islamabad United,MS Chapman
info,player,Islamabad United,Haider Ali
info,player,Islamabad United,Faheem Ashraf
info,player,Islamabad United,Imad Wasim
info,player,Islamabad United,Salman Mirza
info,player,Islamabad United,Salman Irshad
info,player,Islamabad United,CJ Green
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AGS Gous,d1305df0
info,registry,people,AS Joseph,b0946605
info,registry,people,Abdul Muqeet,37cb317b
info,registry,people,Abrar Ahmed,abb7c76c
info,registry,people,Ahmed Daniyal,9656afbf
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,BJ Jacobs,972f217b
info,registry,people,BR McDermott,c41043e6
info,registry,people,CJ Green,19b9f399
info,registry,people,CM Brown,448f4f1c
info,registry,people,DP Conway,df5a6881
info,registry,people,Faheem Ashraf,bd4ea627
info,registry,people,Haider Ali,c13e34f4
info,registry,people,Hassan Nawaz,26a8b2fe
info,registry,people,Imad Wasim,9cb8d7a6
info,registry,people,Khawaja Nafay,3cf54e77
info,registry,people,MS Chapman,7fa12533
info,registry,people,Rashid Riaz,fb82725e
info,registry,people,Salman Irshad,30afc92b
info,registry,people,Salman Mirza,7ab1eab7
info,registry,people,Sameer Minhas,62fd0c5e
info,registry,people,Saud Shakeel,d07c1b2f
info,registry,people,Shadab Khan,9de62878
info,registry,people,Shamyl Hussain,d3395043
info,registry,people,TK Curran,e86754b2
info,registry,people,Usman Tariq,e94d1dcd
