version,2.3.0
info,balls_per_over,6
info,team,Bloomfield Cricket and Athletic Club
info,team,Panadura Sports Club
info,gender,male
info,team_type,club
info,season,2026
info,date,2026/08/16
info,match_id,1535519
info,match_type,T20
info,overs,20
info,event,Major Clubs T20 Tournament
info,venue,"Surrey Village, Maggona"
info,city,Maggona
info,toss_winner,Bloomfield Cricket and Athletic Club
info,toss_decision,bat
info,umpire,JWHD Boteju
info,umpire,R Dulsiri
info,reserve_umpire,PSR Fonseka
info,match_referee,BCMS Mendis
info,target_overs,2,10
info,target_runs,2,108
info,winner,Panadura Sports Club
info,winner_wickets,4
info,method,D/L
info,player,Bloomfield Cricket and Athletic Club,R Rasantha
info,player,Bloomfield Cricket and Athletic Club,S Galagoda
info,player,Bloomfield Cricket and Athletic Club,C Nethsara
info,player,Bloomfield Cricket and Athletic Club,J Liyanage
info,player,Bloomfield Cricket and Athletic Club,RS Fernando
info,player,Bloomfield Cricket and Athletic Club,KHJ de Silva
info,player,Bloomfield Cricket and Athletic Club,TN Guruge
info,player,Bloomfield Cricket and Athletic Club,D Samuditha
info,player,Bloomfield Cricket and Athletic Club,A Wanninayake
info,player,Bloomfield Cricket and Athletic Club,S Kavinda
info,player,Bloomfield Cricket and Athletic Club,K Piyumal
info,player,Panadura Sports Club,BOP Fernando
info,player,Panadura Sports Club,TA Kahaduwaarachchi
info,player,Panadura Sports Club,EMDY Munaweera
info,player,Panadura Sports Club,Shalith Fernando
info,player,Panadura Sports Club,KKV Perera
info,player,Panadura Sports Club,V Dinsara
info,player,Panadura Sports Club,V Lahiru
info,player,Panadura Sports Club,G Malkan
info,player,Panadura Sports Club,Navindu Prabash
info,player,Panadura Sports Club,Chamath Wickramasingha
info,player,Panadura Sports Club,C Paranavithana
info,registry,people,A Wanninayake,13ef4457
info,registry,people,BCMS Mendis,e3f6e4ac
info,registry,people,BOP Fernando,1d048deb
info,registry,people,C Nethsara,07697ab0
info,registry,people,C Paranavithana,2e6cfd4f
info,registry,people,Chamath Wickramasingha,11bdd382
info,registry,people,D Samuditha,4770fcd4
info,registry,people,EMDY Munaweera,5a22d91c
info,registry,people,G Malkan,0c79cd0e
info,registry,people,J Liyanage,84212ffb
info,registry,people,JWHD Boteju,7934d6fb
info,registry,people,K Piyumal,d5b6fe5f
info,registry,people,KHJ de Silva,9688690d
info,registry,people,KKV Perera,106fe7a6
info,registry,people,Navindu Prabash,1076ea52
info,registry,people,PSR Fonseka,8fd2cea5
info,registry,people,R Dulsiri,a7d3d23c
info,registry,people,R Rasantha,fb12d010
info,registry,people,RS Fernando,24d72446
info,registry,people,S Galagoda,4c1884fe
info,registry,people,S Kavinda,0295c92b
info,registry,people,Shalith Fernando,3b6af632
info,registry,people,TA Kahaduwaarachchi,924bd6ac
info,registry,people,TN Guruge,6adee1a9
info,registry,people,V Dinsara,630d40b7
info,registry,people,V Lahiru,26cd5968
