version,2.3.0
info,balls_per_over,6
info,team,Dambulla Sixers
info,team,Colombo Kaps
info,gender,male
info,team_type,club
info,season,2026
info,date,2026/07/29
info,match_id,1537347
info,match_type,T20
info,overs,20
info,event,Lanka Premier League
info,match_number,17
info,venue,Pallekele International Cricket Stadium
info,city,Kandy
info,toss_winner,Dambulla Sixers
info,toss_decision,bat
info,player_of_match,RA Herman
info,umpire,HDPK Dharmasena
info,umpire,PSR Fonseka
info,reserve_umpire,R Dulsiri
info,tv_umpire,IC Soysa
info,match_referee,RS Madugalle
info,target_overs,2,20
info,target_runs,2,175
info,winner,Colombo Kaps
info,winner_wickets,4
info,player,Dambulla Sixers,SC van Schalkwyk
info,player,Dambulla Sixers,Sahibzada Farhan
info,player,Dambulla Sixers,LD Chandimal
info,player,Dambulla Sixers,RR Hendricks
info,player,Dambulla Sixers,P Rathnayake
info,player,Dambulla Sixers,Sikandar Raza
info,player,Dambulla Sixers,Gulbadin Naib
info,player,Dambulla Sixers,RTM Mendis
info,player,Dambulla Sixers,GS Dinusha
info,player,Dambulla Sixers,A Dananjaya
info,player,Dambulla Sixers,G Weerasinghe
info,player,Dambulla Sixers,PVD Chameera
info,player,Colombo Kaps,Mujeeb Ur Rahman
info,player,Colombo Kaps,RA Herman
info,player,Colombo Kaps,S Samarawickrama
info,player,Colombo Kaps,BR McDermott
info,player,Colombo Kaps,PHKD Mendis
info,player,Colombo Kaps,KNA Bandara
info,player,Colombo Kaps,J Liyanage
info,player,Colombo Kaps,JDS Neesham
info,player,Colombo Kaps,RMMP Rathnayake
info,player,Colombo Kaps,W Sahan
info,player,Colombo Kaps,M Tharupathi
info,player,Colombo Kaps,Shahnawaz Dhani
info,registry,people,A Dananjaya,5b16a806
info,registry,people,BR McDermott,c41043e6
info,registry,people,G Weerasinghe,77f60c02
info,registry,people,GS Dinusha,4bbfddd5
info,registry,people,Gulbadin Naib,9f77963a
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,IC Soysa,717a7971
info,registry,people,J Liyanage,84212ffb
info,registry,people,JDS Neesham,9219eff0
info,registry,people,KNA Bandara,585dda5d
info,registry,people,LD Chandimal,8dd02a98
info,registry,people,M Tharupathi,ec0b9258
info,registry,people,Mohammad Wasim,9e9af5f2
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,P Rathnayake,c1fdfb46
info,registry,people,PHKD Mendis,08548b13
info,registry,people,PSR Fonseka,8fd2cea5
info,registry,people,PVD Chameera,327b58d3
info,registry,people,R Dulsiri,a7d3d23c
info,registry,people,RA Herman,9c821d2e
info,registry,people,RMMP Rathnayake,afe830a2
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,RS Madugalle,766b5798
info,registry,people,RTM Mendis,1be67d37
info,registry,people,S Samarawickrama,9ab2914d
info,registry,people,SC van Schalkwyk,97b0e4ff
info,registry,people,Sahibzada Farhan,1aba45cd
info,registry,people,Shahnawaz Dhani,7ccbb09f
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,W Sahan,d86d276e
