version,2.3.0
info,balls_per_over,6
info,team,Auckland Aces
info,team,Otago Volts
info,team_type,club
info,gender,male
info,season,2012/13
info,date,2013/02/14
info,date,2013/02/15
info,date,2013/02/16
info,date,2013/02/17
info,event,Plunket Shield
info,match_id,580750
info,match_type,MDM
info,venue,"University Oval, Dunedin"
info,city,Dunedin
info,toss_winner,Auckland Aces
info,toss_decision,bat
info,umpire,A Mehrotra
info,umpire,PD Jones
info,declared,2
info,winner,Otago Volts
info,winner_wickets,10
info,player,Otago Volts,AJ Redmond
info,player,Otago Volts,DJ Broom
info,player,Otago Volts,NB Beard
info,player,Otago Volts,MG Bracewell
info,player,Otago Volts,NT Broom
info,player,Otago Volts,SR Wells
info,player,Otago Volts,DC de Boorder
info,player,Otago Volts,JDS Neesham
info,player,Otago Volts,MD Craig
info,player,Otago Volts,N Wagner
info,player,Otago Volts,JM McMillan
info,player,Auckland Aces,MJ Barry
info,player,Auckland Aces,ML Guptill-Bunce
info,player,Auckland Aces,Craig Cachopa
info,player,Auckland Aces,GJ Hopkins
info,player,Auckland Aces,C de Grandhomme
info,player,Auckland Aces,DN Hakaraia
info,player,Auckland Aces,AK Kitchen
info,player,Auckland Aces,BP Martin
info,player,Auckland Aces,MD Bates
info,player,Auckland Aces,LH Ferguson
info,player,Auckland Aces,Bhupinder Singh
info,registry,people,A Mehrotra,f336ff13
info,registry,people,AJ Redmond,48f177f5
info,registry,people,AK Kitchen,63a1874a
info,registry,people,BP Martin,a02a6cb1
info,registry,people,Bhupinder Singh,ba9932c0
info,registry,people,C de Grandhomme,94d7f855
info,registry,people,Craig Cachopa,af294a6c
info,registry,people,DC de Boorder,bf573bfd
info,registry,people,DJ Broom,f594930c
info,registry,people,DN Hakaraia,7806483b
info,registry,people,GJ Hopkins,4d3097d8
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JM McMillan,a4094f4a
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,MD Bates,1b3acd33
info,registry,people,MD Craig,c8574282
info,registry,people,MG Bracewell,e38bce7a
info,registry,people,MJ Barry,8a6ba092
info,registry,people,ML Guptill-Bunce,9f86e380
info,registry,people,N Wagner,78adc879
info,registry,people,NB Beard,1cbd881f
info,registry,people,NT Broom,a354c917
info,registry,people,PD Jones,169be239
info,registry,people,SR Wells,8fdfa195
