version,2.3.0
info,balls_per_over,6
info,team,Central Stags
info,team,Auckland Aces
info,team_type,club
info,gender,male
info,season,2013/14
info,date,2013/12/04
info,date,2013/12/05
info,date,2013/12/06
info,date,2013/12/07
info,event,Plunket Shield
info,match_id,665537
info,match_type,MDM
info,venue,"Eden Park No 2, Auckland"
info,city,Auckland
info,toss_winner,Auckland Aces
info,toss_decision,field
info,umpire,BF Bowden
info,umpire,PD Jones
info,declared,1
info,outcome,draw
info,player,Central Stags,JM How
info,player,Central Stags,BS Smith
info,player,Central Stags,Carl Cachopa
info,player,Central Stags,WA Young
info,player,Central Stags,GR Hay
info,player,Central Stags,PD Trego
info,player,Central Stags,CFK van Wyk
info,player,Central Stags,TS Nethula
info,player,Central Stags,AF Milne
info,player,Central Stags,BM Wheeler
info,player,Central Stags,AW Mathieson
info,player,Auckland Aces,JA Raval
info,player,Auckland Aces,MJ Guptill
info,player,Auckland Aces,AK Kitchen
info,player,Auckland Aces,Craig Cachopa
info,player,Auckland Aces,C Munro
info,player,Auckland Aces,C de Grandhomme
info,player,Auckland Aces,GJ Hopkins
info,player,Auckland Aces,MD Bates
info,player,Auckland Aces,BP Martin
info,player,Auckland Aces,MJ McClenaghan
info,player,Auckland Aces,MR Quinn
info,registry,people,AF Milne,350bb1b1
info,registry,people,AK Kitchen,63a1874a
info,registry,people,AW Mathieson,c661789d
info,registry,people,BF Bowden,efc0a862
info,registry,people,BM Wheeler,397f4d3a
info,registry,people,BP Martin,a02a6cb1
info,registry,people,BS Smith,556df4f9
info,registry,people,C Munro,af2c687b
info,registry,people,C de Grandhomme,94d7f855
info,registry,people,CFK van Wyk,24fd039c
info,registry,people,Carl Cachopa,7112662b
info,registry,people,Craig Cachopa,af294a6c
info,registry,people,GJ Hopkins,4d3097d8
info,registry,people,GR Hay,5bcd48df
info,registry,people,JA Raval,5f966ec0
info,registry,people,JM How,fd8f11e9
info,registry,people,MD Bates,1b3acd33
info,registry,people,MJ Guptill,2be41edb
info,registry,people,MJ McClenaghan,51a3c5ef
info,registry,people,MR Quinn,b082d112
info,registry,people,PD Jones,169be239
info,registry,people,PD Trego,93e06301
info,registry,people,TS Nethula,e82dc4c5
info,registry,people,WA Young,8afe73e2
