version,2.3.0
info,balls_per_over,6
info,team,Central Stags
info,team,Otago Volts
info,team_type,club
info,gender,male
info,season,2013/14
info,date,2014/02/07
info,date,2014/02/08
info,date,2014/02/09
info,date,2014/02/10
info,event,Plunket Shield
info,match_id,665571
info,match_type,MDM
info,venue,"Saxton Oval, Nelson"
info,city,Nelson
info,toss_winner,Otago Volts
info,toss_decision,field
info,umpire,BG Frost
info,umpire,TJ Parlane
info,declared,2
info,declared,3
info,winner,Central Stags
info,winner_runs,134
info,player,Central Stags,JM How
info,player,Central Stags,BS Smith
info,player,Central Stags,Carl Cachopa
info,player,Central Stags,WA Young
info,player,Central Stags,GR Hay
info,player,Central Stags,K Noema-Barnett
info,player,Central Stags,CFK van Wyk
info,player,Central Stags,TS Nethula
info,player,Central Stags,BJ Small
info,player,Central Stags,SHA Rance
info,player,Central Stags,AY Patel
info,player,Otago Volts,AJ Redmond
info,player,Otago Volts,NT Broom
info,player,Otago Volts,MG Bracewell
info,player,Otago Volts,JD Ryder
info,player,Otago Volts,NL McCullum
info,player,Otago Volts,JDS Neesham
info,player,Otago Volts,DC de Boorder
info,player,Otago Volts,SR Wells
info,player,Otago Volts,MD Craig
info,player,Otago Volts,BE Soper
info,player,Otago Volts,JM McMillan
info,registry,people,AJ Redmond,48f177f5
info,registry,people,AY Patel,fbd4f01f
info,registry,people,BE Soper,5b84460a
info,registry,people,BG Frost,fd8ffc13
info,registry,people,BJ Small,b1b7b7de
info,registry,people,BS Smith,556df4f9
info,registry,people,CFK van Wyk,24fd039c
info,registry,people,Carl Cachopa,7112662b
info,registry,people,DC de Boorder,bf573bfd
info,registry,people,GR Hay,5bcd48df
info,registry,people,JD Ryder,91ffa6c6
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JM How,fd8f11e9
info,registry,people,JM McMillan,a4094f4a
info,registry,people,K Noema-Barnett,1ad0b441
info,registry,people,MD Craig,c8574282
info,registry,people,MG Bracewell,e38bce7a
info,registry,people,NL McCullum,5673a3fc
info,registry,people,NT Broom,a354c917
info,registry,people,SHA Rance,69c994e4
info,registry,people,SR Wells,8fdfa195
info,registry,people,TJ Parlane,3cfc24b0
info,registry,people,TS Nethula,e82dc4c5
info,registry,people,WA Young,8afe73e2
