version,2.3.0
info,balls_per_over,6
info,team,Canterbury
info,team,Central Stags
info,team_type,club
info,gender,male
info,season,2014/15
info,date,2014/12/11
info,date,2014/12/12
info,date,2014/12/13
info,date,2014/12/14
info,event,Plunket Shield
info,match_id,770767
info,match_type,MDM
info,venue,"Hagley Oval, Christchurch"
info,city,Christchurch
info,toss_winner,Central Stags
info,toss_decision,field
info,umpire,DJ Walker
info,umpire,TJ Parlane
info,declared,3
info,winner,Canterbury
info,winner_runs,102
info,player,Canterbury,RM Hira
info,player,Canterbury,GJ Dawson
info,player,Canterbury,PG Fulton
info,player,Canterbury,NT Broom
info,player,Canterbury,HM Nicholls
info,player,Canterbury,AM Ellis
info,player,Canterbury,TD Astle
info,player,Canterbury,FG Anderson
info,player,Canterbury,LV van Beek
info,player,Canterbury,RJ McCone
info,player,Canterbury,HK Bennett
info,player,Central Stags,JM How
info,player,Central Stags,BS Smith
info,player,Central Stags,GH Worker
info,player,Central Stags,WA Young
info,player,Central Stags,GR Hay
info,player,Central Stags,CFK van Wyk
info,player,Central Stags,K Noema-Barnett
info,player,Central Stags,DAJ Bracewell
info,player,Central Stags,BM Wheeler
info,player,Central Stags,SHA Rance
info,player,Central Stags,AY Patel
info,registry,people,AM Ellis,f987245c
info,registry,people,AY Patel,fbd4f01f
info,registry,people,BM Wheeler,397f4d3a
info,registry,people,BS Smith,556df4f9
info,registry,people,CFK van Wyk,24fd039c
info,registry,people,DAJ Bracewell,2e9fdf9b
info,registry,people,DJ Walker,d4aea8ac
info,registry,people,FG Anderson,1dfc4d01
info,registry,people,GH Worker,51a36d3e
info,registry,people,GJ Dawson,1259ca28
info,registry,people,GR Hay,5bcd48df
info,registry,people,HK Bennett,94238673
info,registry,people,HM Nicholls,03521fd3
info,registry,people,JM How,fd8f11e9
info,registry,people,K Noema-Barnett,1ad0b441
info,registry,people,LV van Beek,782fb776
info,registry,people,NT Broom,a354c917
info,registry,people,PG Fulton,10a2a1ff
info,registry,people,RJ McCone,19cc9592
info,registry,people,RM Hira,2e966563
info,registry,people,SHA Rance,69c994e4
info,registry,people,TD Astle,383dd431
info,registry,people,TJ Parlane,3cfc24b0
info,registry,people,WA Young,8afe73e2
