version,2.3.0
info,balls_per_over,6
info,team,Auckland Aces
info,team,Wellington Firebirds
info,team_type,club
info,gender,male
info,season,2015/16
info,date,2016/03/23
info,date,2016/03/24
info,date,2016/03/25
info,date,2016/03/26
info,event,Plunket Shield
info,match_id,917565
info,match_type,MDM
info,venue,"Basin Reserve, Wellington"
info,city,Wellington
info,toss_winner,Wellington Firebirds
info,toss_decision,field
info,umpire,CM Brown
info,umpire,TJ Parlane
info,outcome,draw
info,player,Auckland Aces,ML Guptill-Bunce
info,player,Auckland Aces,JA Raval
info,player,Auckland Aces,RR O'Donnell
info,player,Auckland Aces,B Cachopa
info,player,Auckland Aces,MS Chapman
info,player,Auckland Aces,C de Grandhomme
info,player,Auckland Aces,DJ Grobbelaar
info,player,Auckland Aces,TS Nethula
info,player,Auckland Aces,MD Bates
info,player,Auckland Aces,LH Ferguson
info,player,Auckland Aces,MR Quinn
info,player,Wellington Firebirds,MHW Papps
info,player,Wellington Firebirds,LJ Woodcock
info,player,Wellington Firebirds,SJ Murdoch
info,player,Wellington Firebirds,SG Borthwick
info,player,Wellington Firebirds,MA Pollard
info,player,Wellington Firebirds,TA Blundell
info,player,Wellington Firebirds,FJ Colson
info,player,Wellington Firebirds,JS Patel
info,player,Wellington Firebirds,A Verma
info,player,Wellington Firebirds,IG McPeake
info,player,Wellington Firebirds,BJ Arnel
info,registry,people,A Verma,8e9a5d20
info,registry,people,B Cachopa,e9a44f08
info,registry,people,BJ Arnel,a5ac694f
info,registry,people,C de Grandhomme,94d7f855
info,registry,people,CM Brown,448f4f1c
info,registry,people,DJ Grobbelaar,52d11798
info,registry,people,FJ Colson,c2327c5d
info,registry,people,IG McPeake,f8e48647
info,registry,people,JA Raval,5f966ec0
info,registry,people,JS Patel,f5821615
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,LJ Woodcock,9ba59a3c
info,registry,people,MA Pollard,d3b84c59
info,registry,people,MD Bates,1b3acd33
info,registry,people,MHW Papps,6c1beb66
info,registry,people,ML Guptill-Bunce,9f86e380
info,registry,people,MR Quinn,b082d112
info,registry,people,MS Chapman,7fa12533
info,registry,people,RR O'Donnell,2742086d
info,registry,people,SG Borthwick,51e1ed69
info,registry,people,SJ Murdoch,2415a225
info,registry,people,TA Blundell,21e5f325
info,registry,people,TJ Parlane,3cfc24b0
info,registry,people,TS Nethula,e82dc4c5
